Temp Current,Temp Hourly,Temp Hourly.1,Temp Hourly.2,Temp Hourly.3,Temp Hourly.4,Temp Hourly.5,Temp Hourly.6,Temp Hourly.7,Temp Hourly.8,Temp Hourly.9,Temp Hourly.10,Temp Hourly.11,Clouds Current,Clouds Hourly,Clouds Hourly.1,Clouds Hourly.2,Clouds Hourly.3,Clouds Hourly.4,Clouds Hourly.5,Clouds Hourly.6,Clouds Hourly.7,Clouds Hourly.8,Clouds Hourly.9,Clouds Hourly.10,Clouds Hourly.11,UVI Current,UVI Hourly,UVI Hourly.1,UVI Hourly.2,UVI Hourly.3,UVI Hourly.4,UVI Hourly.5,UVI Hourly.6,UVI Hourly.7,UVI Hourly.8,UVI Hourly.9,UVI Hourly.10,UVI Hourly.11,POP Current,POP Hourly,POP Hourly.1,POP Hourly.2,POP Hourly.3,POP Hourly.4,POP Hourly.5,POP Hourly.6,POP Hourly.7,POP Hourly.8,POP Hourly.9,POP Hourly.10,POP Hourly.11,Label,predictions
30.0,30.0,28.0,25.0,25.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,24.0,100,100,99,100,99,99,99,100,100,100,100,100,100,0.0,0.0,0.0,0.0,8.0,11.0,11.0,11.0,9.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
23.0,23.0,23.0,23.0,24.0,27.0,30.0,31.0,33.0,35.0,37.0,38.0,39.0,100,100,95,94,94,93,93,94,100,100,100,100,100,0.0,0.0,0.0,0.0,10.0,9.0,9.0,9.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,86.0,81.0,77.0,57.0,57.0,False,0
35.0,35.0,35.0,36.0,38.0,40.0,43.0,43.0,43.0,43.0,43.0,43.0,41.0,0,0,3,22,41,61,76,76,77,82,88,87,89,0.0,0.0,0.0,12.0,17.0,21.0,22.0,20.0,17.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
41.0,41.0,41.0,40.0,40.0,41.0,42.0,41.0,40.0,40.0,40.0,41.0,41.0,100,100,100,98,80,62,46,46,79,89,93,95,96,0.0,0.0,0.0,12.0,18.0,21.0,21.0,20.0,14.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
41.0,41.0,40.0,38.0,37.0,38.0,38.0,39.0,40.0,40.0,40.0,40.0,39.0,0,0,2,7,12,14,16,15,12,22,29,34,38,0.0,0.0,0.0,14.0,20.0,24.0,25.0,23.0,20.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
46.0,46.0,46.0,47.0,48.0,48.0,47.0,45.0,45.0,43.0,43.0,43.0,43.0,40,40,52,64,75,88,100,100,100,100,100,100,100,0.0,0.0,0.0,12.0,17.0,7.0,7.0,6.0,8.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,35.0,39.0,44.0,65.0,100.0,100.0,100.0,False,0
47.0,47.0,46.0,43.0,38.0,33.0,27.0,26.0,25.0,26.0,26.0,25.0,24.0,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,6.0,8.0,15.0,15.0,14.0,11.0,9.0,6.0,4.0,0.0,100.0,100.0,100.0,100.0,99.0,95.0,94.0,87.0,79.0,78.0,71.0,57.0,56.0,False,0
16.0,16.0,15.0,15.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,16.0,0,0,14,32,52,72,92,93,100,100,100,99,98,0.0,0.0,0.0,12.0,17.0,19.0,19.0,18.0,15.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
2.0,2.0,1.0,2.0,6.0,11.0,17.0,21.0,24.0,26.0,27.0,28.0,28.0,0,0,16,33,46,56,60,67,100,92,95,93,94,0.0,0.0,0.0,15.0,22.0,25.0,25.0,24.0,18.0,14.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
33.0,33.0,32.0,33.0,35.0,38.0,40.0,40.0,40.0,40.0,40.0,39.0,36.0,75,75,75,76,79,78,82,84,100,65,53,47,43,0.0,0.0,0.0,15.0,22.0,24.0,25.0,23.0,17.0,14.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
