human_time,forecast_time,ghi,dni,dhi
2023-06-02T15:06:38,2023-06-02T00:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-02T01:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-02T02:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-02T03:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-02T04:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-02T05:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-02T06:00:00,3.42,0.0,3.42
2023-06-02T15:06:38,2023-06-02T07:00:00,42.02,0.81,41.87
2023-06-02T15:06:38,2023-06-02T08:00:00,76.77,0.0,76.77
2023-06-02T15:06:38,2023-06-02T09:00:00,120.25,0.0,120.25
2023-06-02T15:06:38,2023-06-02T10:00:00,161.63,0.84,161.08
2023-06-02T15:06:38,2023-06-02T11:00:00,202.75,3.11,200.33
2023-06-02T15:06:38,2023-06-02T12:00:00,338.43,34.75,308.53
2023-06-02T15:06:38,2023-06-02T13:00:00,347.15,31.8,318.38
2023-06-02T15:06:38,2023-06-02T14:00:00,330.68,24.07,308.88
2023-06-02T15:06:38,2023-06-02T15:00:00,331.11,25.6,309.0
2023-06-02T15:06:38,2023-06-02T16:00:00,531.14,252.56,333.5
2023-06-02T15:06:38,2023-06-02T17:00:00,483.51,336.78,259.1
2023-06-02T15:06:38,2023-06-02T18:00:00,383.04,399.4,173.89
2023-06-02T15:06:38,2023-06-02T19:00:00,247.01,365.38,113.89
2023-06-02T15:06:38,2023-06-02T20:00:00,113.94,260.73,61.96
2023-06-02T15:06:38,2023-06-02T21:00:00,6.54,0.0,6.54
2023-06-02T15:06:38,2023-06-02T22:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-02T23:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T00:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T01:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T02:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T03:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T04:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T05:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T06:00:00,3.42,0.0,3.42
2023-06-02T15:06:38,2023-06-03T07:00:00,42.4,0.0,42.4
2023-06-02T15:06:38,2023-06-03T08:00:00,91.48,0.0,91.48
2023-06-02T15:06:38,2023-06-03T09:00:00,120.45,0.0,120.45
2023-06-02T15:06:38,2023-06-03T10:00:00,188.15,3.36,185.94
2023-06-02T15:06:38,2023-06-03T11:00:00,358.8,57.65,314.04
2023-06-02T15:06:38,2023-06-03T12:00:00,584.45,224.61,391.13
2023-06-02T15:06:38,2023-06-03T13:00:00,705.28,342.86,394.96
2023-06-02T15:06:38,2023-06-03T14:00:00,713.64,378.45,370.54
2023-06-02T15:06:38,2023-06-03T15:00:00,715.26,545.81,243.07
2023-06-02T15:06:38,2023-06-03T16:00:00,649.92,543.87,223.68
2023-06-02T15:06:38,2023-06-03T17:00:00,564.31,556.17,192.93
2023-06-02T15:06:38,2023-06-03T18:00:00,410.59,483.7,156.47
2023-06-02T15:06:38,2023-06-03T19:00:00,270.93,461.33,102.11
2023-06-02T15:06:38,2023-06-03T20:00:00,128.55,348.08,58.61
2023-06-02T15:06:38,2023-06-03T21:00:00,15.16,0.0,15.16
2023-06-02T15:06:38,2023-06-03T22:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-03T23:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-17T00:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-17T01:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-17T02:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-17T03:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-17T04:00:00,0.0,0.0,0.0
2023-06-02T15:06:38,2023-06-17T05:00:00,1.28,0.0,1.28
2023-06-02T15:06:38,2023-06-17T06:00:00,2.57,0.0,2.57
2023-06-02T15:06:38,2023-06-17T07:00:00,3.85,0.0,3.85
2023-06-02T15:06:38,2023-06-17T08:00:00,42.95,0.0,42.95
2023-06-02T15:06:38,2023-06-17T09:00:00,82.04,0.0,82.04
2023-06-02T15:06:38,2023-06-17T10:00:00,121.14,0.0,121.14
2023-06-02T15:06:38,2023-06-17T11:00:00,154.91,0.79,154.22
2023-06-02T15:06:38,2023-06-17T12:00:00,188.69,1.59,187.31
2023-06-02T15:06:38,2023-06-17T13:00:00,222.46,2.38,220.4
2023-06-02T15:06:38,2023-06-17T14:00:00,223.41,2.41,221.32
2023-06-02T15:06:38,2023-06-17T15:00:00,224.36,2.43,222.25
2023-06-02T15:06:38,2023-06-17T16:00:00,225.32,2.45,223.17
2023-06-02T15:06:38,2023-06-17T17:00:00,203.08,2.36,201.25
2023-06-02T15:06:38,2023-06-17T18:00:00,180.84,2.26,179.34
2023-06-02T15:06:38,2023-06-17T19:00:00,158.6,2.16,157.42
2023-06-02T15:06:38,2023-06-17T20:00:00,113.82,11.72,112.38
2023-06-02T15:06:38,2023-06-17T21:00:00,69.04,21.28,67.33
2023-06-02T15:06:38,2023-06-17T22:00:00,24.26,30.84,22.28
2023-06-02T15:06:38,2023-06-17T23:00:00,24.26,30.84,22.28
2023-06-02T15:11:01,2023-06-02T00:00:00,0.0,0.0,0.0
2023-06-02T15:11:01,2023-06-02T01:00:00,0.0,0.0,0.0
