"Date & Time","Usage [kWh]","Generation [kWh]","bat [kWh]","Grid (Est) [kWh]","L1 Voltage [Vh]","L2 Voltage [Vh]","L3 Voltage [Vh]","CT1 Amperage [Ah]","CT2 Amperage [Ah]","CT3 Amperage [Ah]","Jail Load [kWh]","Solar [kWh]","Courthouse Load [kWh]","Courthouse Generator [kWh]","Jail BESS [kWh]"
2024-03-29 18:00:00,318837.174863333,27609.364062778,2455.914181111,288771.896619444,487850.221213611,489063.887946944,489698.322608056,719942.452009722,520696.404085278,615399.294054167,208499.097650556,27609.364062778,110338.077212778,-2129.725183611,2455.914181111
2024-03-29 17:00:00,318769.403207500,27587.261138889,2458.913226944,288723.228841667,487728.531755556,488942.598996111,489576.989857500,719775.476880000,520574.157240278,615250.657489722,208449.877987500,27587.261138889,110319.525220000,-2130.000356944,2458.913226944
2024-03-29 16:00:00,318696.867372500,27565.406321667,2465.290285556,288666.170765278,487607.044578611,488821.617531667,489456.011898889,719594.388702778,520437.153288889,615095.682405556,208396.519325278,27565.406321667,110300.348047222,-2130.259978889,2465.290285556
2024-03-29 15:00:00,318620.931931667,27524.537984722,2467.619323056,288628.774623889,487485.250311389,488700.079603889,489334.344668056,719411.644310278,520299.030951944,614934.910112222,208341.938184444,27524.537984722,110278.993747222,-2130.500281667,2467.619323056
2024-03-29 14:00:00,318545.712113889,27477.384822778,2467.878940000,288600.448351111,487363.626168333,488578.502491944,489212.586998611,719231.837040000,520160.881127778,614777.912079444,208288.041758889,27477.384822778,110257.670355000,-2130.739127778,2467.878940000
2024-03-29 13:00:00,318469.623125000,27422.225982222,2468.204822500,288579.192320278,487241.801701944,488456.717669722,489090.639521111,719049.557896944,520020.794763056,614620.461296389,208233.698300833,27422.225982222,110235.924824167,-2130.975621944,2468.204822500
2024-03-29 12:00:00,318392.548189722,27372.494364444,2468.566430278,288551.487395000,487120.268847222,488335.212373333,488969.060586389,718861.074826944,519883.898386389,614454.994303611,208178.015508611,27372.494364444,110214.532681111,-2131.212823056,2468.566430278
2024-03-29 11:00:00,318313.122819444,27323.944912778,2468.724720278,288520.453186389,486998.720067778,488213.712096944,488847.525714444,718667.139202778,519744.999083056,614284.718511111,208120.691555556,27323.944912778,110192.431263889,-2131.444506111,2468.724720278
2024-03-29 10:00:00,318230.801512778,27296.277839167,2468.832929444,288465.690744167,486877.138610278,488092.342662778,488725.703675556,718466.567597222,519596.893788611,614111.109881389,208060.986597222,27296.277839167,110169.814915556,-2131.673500278,2468.832929444
2024-03-29 09:00:00,318150.675036667,27279.000930000,2468.938598333,288402.735508333,486756.307941111,487971.454646111,488604.399896944,718275.244577222,519448.562366944,613945.116846111,208003.430772500,27279.000930000,110147.244264167,-2131.899961389,2468.938598333
2024-03-29 08:00:00,318071.046653056,27274.311651944,2469.042187222,288327.692813889,486635.820366111,487851.086767222,488483.651858611,718078.956342778,519299.719135278,613781.826375278,207945.739462500,27274.311651944,110125.307190556,-2132.128334444,2469.042187222
2024-03-29 07:00:00,317991.211089722,27274.242809167,2469.145349167,288247.822931389,486515.246641111,487731.245900556,488363.173469722,717874.715788889,519157.377261111,613616.789396667,207887.848240556,27274.242809167,110103.362849167,-2132.368616667,2469.145349167
2024-03-29 06:00:00,317922.598782778,27274.227429722,2469.532976667,288178.838376389,486394.221737778,487611.275853611,488242.547022500,717704.023429167,519040.635020000,613483.072180000,207841.172504444,27274.227429722,110081.426278333,-2132.611268889,2469.532976667
