,Date & Time,Production Difference,Month_sin,Month_cos,Day_sin,Day_cos,Hour_sin,Hour_cos
2499,2023-02-11 08:00:00,2.0,87.0,50.0,79.0,-61.0,87.0,-50.0
2500,2023-02-11 09:00:00,9.0,87.0,50.0,79.0,-61.0,71.0,-71.0
2501,2023-02-11 10:00:00,16.0,87.0,50.0,79.0,-61.0,50.0,-87.0
2502,2023-02-11 11:00:00,24.0,87.0,50.0,79.0,-61.0,26.0,-97.0
2503,2023-02-11 12:00:00,25.0,87.0,50.0,79.0,-61.0,0.0,-100.0
2504,2023-02-11 13:00:00,22.0,87.0,50.0,79.0,-61.0,-26.0,-97.0
2505,2023-02-11 14:00:00,19.0,87.0,50.0,79.0,-61.0,-50.0,-87.0
2506,2023-02-11 15:00:00,14.0,87.0,50.0,79.0,-61.0,-71.0,-71.0
2507,2023-02-11 16:00:00,6.0,87.0,50.0,79.0,-61.0,-87.0,-50.0
2508,2023-02-11 17:00:00,1.0,87.0,50.0,79.0,-61.0,-97.0,-26.0
2523,2023-02-12 08:00:00,1.0,87.0,50.0,65.0,-76.0,87.0,-50.0
2524,2023-02-12 09:00:00,10.0,87.0,50.0,65.0,-76.0,71.0,-71.0
2525,2023-02-12 10:00:00,16.0,87.0,50.0,65.0,-76.0,50.0,-87.0
2526,2023-02-12 11:00:00,23.0,87.0,50.0,65.0,-76.0,26.0,-97.0
2527,2023-02-12 12:00:00,24.0,87.0,50.0,65.0,-76.0,0.0,-100.0
2528,2023-02-12 13:00:00,23.0,87.0,50.0,65.0,-76.0,-26.0,-97.0
2529,2023-02-12 14:00:00,19.0,87.0,50.0,65.0,-76.0,-50.0,-87.0
2530,2023-02-12 15:00:00,12.0,87.0,50.0,65.0,-76.0,-71.0,-71.0
2531,2023-02-12 16:00:00,6.0,87.0,50.0,65.0,-76.0,-87.0,-50.0
2532,2023-02-12 17:00:00,2.0,87.0,50.0,65.0,-76.0,-97.0,-26.0
2547,2023-02-13 08:00:00,2.0,87.0,50.0,49.0,-87.0,87.0,-50.0
2548,2023-02-13 09:00:00,11.0,87.0,50.0,49.0,-87.0,71.0,-71.0
2549,2023-02-13 10:00:00,17.0,87.0,50.0,49.0,-87.0,50.0,-87.0
2550,2023-02-13 11:00:00,25.0,87.0,50.0,49.0,-87.0,26.0,-97.0
2551,2023-02-13 12:00:00,25.0,87.0,50.0,49.0,-87.0,0.0,-100.0
2552,2023-02-13 13:00:00,24.0,87.0,50.0,49.0,-87.0,-26.0,-97.0
2553,2023-02-13 14:00:00,20.0,87.0,50.0,49.0,-87.0,-50.0,-87.0
2554,2023-02-13 15:00:00,14.0,87.0,50.0,49.0,-87.0,-71.0,-71.0
2555,2023-02-13 16:00:00,7.0,87.0,50.0,49.0,-87.0,-87.0,-50.0
2556,2023-02-13 17:00:00,1.0,87.0,50.0,49.0,-87.0,-97.0,-26.0
2571,2023-02-14 08:00:00,1.0,87.0,50.0,30.0,-95.0,87.0,-50.0
2572,2023-02-14 09:00:00,3.0,87.0,50.0,30.0,-95.0,71.0,-71.0
2573,2023-02-14 10:00:00,4.0,87.0,50.0,30.0,-95.0,50.0,-87.0
2574,2023-02-14 11:00:00,4.0,87.0,50.0,30.0,-95.0,26.0,-97.0
2575,2023-02-14 12:00:00,6.0,87.0,50.0,30.0,-95.0,0.0,-100.0
2576,2023-02-14 13:00:00,4.0,87.0,50.0,30.0,-95.0,-26.0,-97.0
2577,2023-02-14 14:00:00,3.0,87.0,50.0,30.0,-95.0,-50.0,-87.0
2578,2023-02-14 15:00:00,4.0,87.0,50.0,30.0,-95.0,-71.0,-71.0
2579,2023-02-14 16:00:00,2.0,87.0,50.0,30.0,-95.0,-87.0,-50.0
2580,2023-02-14 17:00:00,1.0,87.0,50.0,30.0,-95.0,-97.0,-26.0
2596,2023-02-15 09:00:00,2.0,87.0,50.0,10.0,-99.0,71.0,-71.0
2597,2023-02-15 10:00:00,4.0,87.0,50.0,10.0,-99.0,50.0,-87.0
2598,2023-02-15 11:00:00,4.0,87.0,50.0,10.0,-99.0,26.0,-97.0
2599,2023-02-15 12:00:00,2.0,87.0,50.0,10.0,-99.0,0.0,-100.0
2600,2023-02-15 13:00:00,6.0,87.0,50.0,10.0,-99.0,-26.0,-97.0
2601,2023-02-15 14:00:00,17.0,87.0,50.0,10.0,-99.0,-50.0,-87.0
2602,2023-02-15 15:00:00,14.0,87.0,50.0,10.0,-99.0,-71.0,-71.0
2603,2023-02-15 16:00:00,8.0,87.0,50.0,10.0,-99.0,-87.0,-50.0
2604,2023-02-15 17:00:00,2.0,87.0,50.0,10.0,-99.0,-97.0,-26.0
2619,2023-02-16 08:00:00,2.0,87.0,50.0,-10.0,-99.0,87.0,-50.0
2620,2023-02-16 09:00:00,12.0,87.0,50.0,-10.0,-99.0,71.0,-71.0
2621,2023-02-16 10:00:00,16.0,87.0,50.0,-10.0,-99.0,50.0,-87.0
2622,2023-02-16 11:00:00,11.0,87.0,50.0,-10.0,-99.0,26.0,-97.0
2623,2023-02-16 12:00:00,10.0,87.0,50.0,-10.0,-99.0,0.0,-100.0
2624,2023-02-16 13:00:00,12.0,87.0,50.0,-10.0,-99.0,-26.0,-97.0
2625,2023-02-16 14:00:00,13.0,87.0,50.0,-10.0,-99.0,-50.0,-87.0
2626,2023-02-16 15:00:00,10.0,87.0,50.0,-10.0,-99.0,-71.0,-71.0
2627,2023-02-16 16:00:00,7.0,87.0,50.0,-10.0,-99.0,-87.0,-50.0
2628,2023-02-16 17:00:00,2.0,87.0,50.0,-10.0,-99.0,-97.0,-26.0
2643,2023-02-17 08:00:00,2.0,87.0,50.0,-30.0,-95.0,87.0,-50.0
2644,2023-02-17 09:00:00,13.0,87.0,50.0,-30.0,-95.0,71.0,-71.0
2645,2023-02-17 10:00:00,20.0,87.0,50.0,-30.0,-95.0,50.0,-87.0
2646,2023-02-17 11:00:00,27.0,87.0,50.0,-30.0,-95.0,26.0,-97.0
2647,2023-02-17 12:00:00,27.0,87.0,50.0,-30.0,-95.0,0.0,-100.0
2648,2023-02-17 13:00:00,24.0,87.0,50.0,-30.0,-95.0,-26.0,-97.0
