,Temp Hourly,Clouds Hourly,Humidity Hourly,UVI Hourly,POP Hourly,Hourly Forecast UTC
0,39.06,100,90,0.0,0.72,2022-10-26 07:00:00-05:00
1,38.86,100,91,0.0,0.72,2022-10-26 08:00:00-05:00
2,38.5,100,93,0.0,0.66,2022-10-26 09:00:00-05:00
3,38.08,100,94,0.0,0.66,2022-10-26 10:00:00-05:00
4,38.26,100,91,0.09,0.66,2022-10-26 11:00:00-05:00
5,38.82,100,89,0.23,0.69,2022-10-26 12:00:00-05:00
6,40.01,100,81,0.42,0.43,2022-10-26 13:00:00-05:00
7,41.83,100,73,0.64,0.39,2022-10-26 14:00:00-05:00
8,42.78,100,68,0.69,0.39,2022-10-26 15:00:00-05:00
9,44.1,100,62,0.6,0.39,2022-10-26 16:00:00-05:00
10,44.49,100,60,0.91,0.32,2022-10-26 17:00:00-05:00
11,45.28,100,56,0.45,0.28,2022-10-26 18:00:00-05:00
12,44.64,98,56,0.13,0.01,2022-10-26 19:00:00-05:00
13,42.31,94,61,0.0,0.0,2022-10-26 20:00:00-05:00
14,40.98,97,64,0.0,0.0,2022-10-26 21:00:00-05:00
15,40.73,98,65,0.0,0.0,2022-10-26 22:00:00-05:00
16,39.54,98,69,0.0,0.0,2022-10-26 23:00:00-05:00
17,39.02,99,71,0.0,0.0,2022-10-27 00:00:00-05:00
18,38.41,99,74,0.0,0.0,2022-10-27 01:00:00-05:00
19,37.62,100,77,0.0,0.0,2022-10-27 02:00:00-05:00
20,36.68,100,80,0.0,0.0,2022-10-27 03:00:00-05:00
21,35.91,99,82,0.0,0.0,2022-10-27 04:00:00-05:00
22,35.19,82,82,0.0,0.0,2022-10-27 05:00:00-05:00
23,35.02,83,82,0.0,0.0,2022-10-27 06:00:00-05:00
24,33.26,17,84,0.0,0.0,2022-10-27 07:00:00-05:00
25,33.69,40,82,0.0,0.0,2022-10-27 08:00:00-05:00
26,33.75,60,82,0.0,0.0,2022-10-27 09:00:00-05:00
27,34.2,80,80,0.0,0.0,2022-10-27 10:00:00-05:00
28,37.42,100,71,0.28,0.0,2022-10-27 11:00:00-05:00
29,40.5,100,60,0.79,0.0,2022-10-27 12:00:00-05:00
30,43.88,100,52,1.42,0.0,2022-10-27 13:00:00-05:00
31,46.35,57,49,1.52,0.0,2022-10-27 14:00:00-05:00
32,48.24,38,47,1.64,0.0,2022-10-27 15:00:00-05:00
33,49.87,29,45,1.41,0.0,2022-10-27 16:00:00-05:00
34,51.12,27,43,1.28,0.0,2022-10-27 17:00:00-05:00
35,51.62,30,44,0.62,0.0,2022-10-27 18:00:00-05:00
36,49.24,30,50,0.18,0.0,2022-10-27 19:00:00-05:00
37,45.86,41,56,0.0,0.0,2022-10-27 20:00:00-05:00
38,45.37,70,56,0.0,0.0,2022-10-27 21:00:00-05:00
39,45.19,80,55,0.0,0.0,2022-10-27 22:00:00-05:00
40,45.52,85,54,0.0,0.0,2022-10-27 23:00:00-05:00
41,45.43,88,53,0.0,0.0,2022-10-28 00:00:00-05:00
42,44.94,90,54,0.0,0.0,2022-10-28 01:00:00-05:00
43,44.04,100,56,0.0,0.0,2022-10-28 02:00:00-05:00
44,43.36,100,56,0.0,0.0,2022-10-28 03:00:00-05:00
45,42.96,100,55,0.0,0.0,2022-10-28 04:00:00-05:00
46,42.66,100,54,0.0,0.0,2022-10-28 05:00:00-05:00
47,42.39,100,54,0.0,0.0,2022-10-28 06:00:00-05:00
48,42.93,20,56,0.0,0.0,2022-10-28 07:00:00-05:00
49,42.39,40,56,0.0,0.0,2022-10-28 08:00:00-05:00
50,41.86,60,56,0.0,0.0,2022-10-28 09:00:00-05:00
51,41.58,80,55,0.0,0.0,2022-10-28 10:00:00-05:00
52,42.58,100,52,0.22,0.0,2022-10-28 11:00:00-05:00
53,44.6,100,48,0.65,0.0,2022-10-28 12:00:00-05:00
54,47.97,100,41,1.18,0.0,2022-10-28 13:00:00-05:00
55,50.09,100,38,1.17,0.0,2022-10-28 14:00:00-05:00
56,52.52,100,34,1.25,0.0,2022-10-28 15:00:00-05:00
57,55.49,100,31,1.08,0.0,2022-10-28 16:00:00-05:00
58,54.79,100,34,0.53,0.0,2022-10-28 17:00:00-05:00
59,53.55,100,36,0.25,0.0,2022-10-28 18:00:00-05:00
60,52.81,100,39,0.07,0.0,2022-10-28 19:00:00-05:00
61,51.53,100,42,0.0,0.0,2022-10-28 20:00:00-05:00
62,50.85,100,43,0.0,0.0,2022-10-28 21:00:00-05:00
63,50.52,100,44,0.0,0.0,2022-10-28 22:00:00-05:00
64,49.71,100,45,0.0,0.0,2022-10-28 23:00:00-05:00
65,48.92,99,45,0.0,0.0,2022-10-29 00:00:00-05:00
66,46.08,89,49,0.0,0.0,2022-10-29 01:00:00-05:00
67,45.28,60,50,0.0,0.0,2022-10-29 02:00:00-05:00
68,43.97,51,52,0.0,0.0,2022-10-29 03:00:00-05:00
69,45.95,65,49,0.0,0.0,2022-10-29 04:00:00-05:00
70,46.35,74,50,0.0,0.0,2022-10-29 05:00:00-05:00
71,46.11,79,51,0.0,0.0,2022-10-29 06:00:00-05:00
72,43.95,94,61,0.0,0.0,2022-10-29 07:00:00-05:00
73,43.41,80,59,0.0,0.0,2022-10-29 08:00:00-05:00
74,42.46,67,58,0.0,0.0,2022-10-29 09:00:00-05:00
75,42.13,60,56,0.0,0.0,2022-10-29 10:00:00-05:00
76,44.44,54,51,0.23,0.0,2022-10-29 11:00:00-05:00
77,46.87,63,50,0.65,0.0,2022-10-29 12:00:00-05:00
78,48.2,70,51,1.17,0.0,2022-10-29 13:00:00-05:00
79,50.88,99,54,1.71,0.0,2022-10-29 14:00:00-05:00
