Temp Current,Temp Hourly,Temp Hourly.1,Temp Hourly.2,Temp Hourly.3,Temp Hourly.4,Temp Hourly.5,Temp Hourly.6,Temp Hourly.7,Temp Hourly.8,Temp Hourly.9,Temp Hourly.10,Temp Hourly.11,Clouds Current,Clouds Hourly,Clouds Hourly.1,Clouds Hourly.2,Clouds Hourly.3,Clouds Hourly.4,Clouds Hourly.5,Clouds Hourly.6,Clouds Hourly.7,Clouds Hourly.8,Clouds Hourly.9,Clouds Hourly.10,Clouds Hourly.11,UVI Current,UVI Hourly,UVI Hourly.1,UVI Hourly.2,UVI Hourly.3,UVI Hourly.4,UVI Hourly.5,UVI Hourly.6,UVI Hourly.7,UVI Hourly.8,UVI Hourly.9,UVI Hourly.10,UVI Hourly.11,POP Current,POP Hourly,POP Hourly.1,POP Hourly.2,POP Hourly.3,POP Hourly.4,POP Hourly.5,POP Hourly.6,POP Hourly.7,POP Hourly.8,POP Hourly.9,POP Hourly.10,POP Hourly.11,Label
22.62,22.62,20.73,18.48,18.23,19.27,20.1,20.98,21.4,21.85,22.08,21.58,19.49,100,100,99,100,99,99,99,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.24,0.53,0.79,0.91,0.8,0.55,0.27,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
17.04,17.04,16.92,17.04,17.91,20.08,23.09,24.67,26.58,28.11,29.91,31.05,31.78,100,100,95,94,94,93,93,94,100,100,100,100,100,0.0,0.0,0.0,0.0,0.29,0.44,0.65,0.75,0.45,0.31,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.086,0.081,0.077,0.056999999999999995,0.056999999999999995,False
26.42,26.42,26.44,26.67,27.63,29.66,32.43,33.62,34.3,34.75,34.95,34.66,33.4,0,0,3,22,41,61,76,76,77,82,88,87,89,0.0,0.0,0.0,0.18,0.53,1.04,1.5,1.69,1.55,1.11,0.61,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
31.17,31.17,30.69,29.46,29.77,30.67,32.27,32.25,31.93,32.47,32.77,32.9,33.03,100,100,100,98,80,62,46,46,79,89,93,95,96,0.0,0.0,0.0,0.18,0.54,1.03,1.46,1.65,1.3,0.94,0.52,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
30.81,30.81,29.53,27.84,27.37,28.0,29.21,30.69,31.62,32.22,32.38,32.09,31.17,0,0,2,7,12,14,16,15,12,22,29,34,38,0.0,0.0,0.0,0.21,0.62,1.22,1.74,1.96,1.79,1.29,0.71,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
34.81,34.81,34.56,34.63,35.01,35.49,35.47,35.24,35.62,35.01,34.99,34.77,34.93,40,40,52,64,75,88,100,100,100,100,100,100,100,0.0,0.0,0.0,0.18,0.53,0.34,0.48,0.54,0.73,0.53,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.034999999999999996,0.039,0.044,0.065,0.1,0.1,0.1,False
35.08,35.08,34.7,31.41,27.86,24.28,20.82,20.37,20.05,20.71,20.86,20.41,19.65,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.09,0.25,0.73,1.04,1.16,0.98,0.71,0.4,0.23,0.0,0.1,0.1,0.1,0.1,0.099,0.095,0.094,0.087,0.079,0.078,0.071,0.056999999999999995,0.05600000000000001,False
12.27,12.27,11.39,11.01,11.98,12.51,13.06,13.5,14.14,14.27,14.27,14.36,12.67,0,0,14,32,52,72,92,93,100,100,100,99,98,0.0,0.0,0.0,0.18,0.53,0.94,1.32,1.48,1.32,0.96,0.55,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1.15,1.15,1.02,1.62,4.08,7.88,13.03,16.18,19.26,20.97,21.87,22.35,22.5,0,0,16,33,46,56,60,67,100,92,95,93,94,0.0,0.0,0.0,0.23,0.67,1.25,1.75,1.97,1.62,1.19,0.67,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
24.57,24.57,24.08,24.46,25.88,27.97,30.52,31.77,32.16,32.49,32.67,31.78,29.16,75,75,75,76,79,78,82,84,100,65,53,47,43,0.0,0.0,0.0,0.23,0.68,1.22,1.72,1.93,1.53,1.13,0.64,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
